iter	RMSE
0	14.32179936
1	13.80931904
2	13.72450779
3	13.65115485
4	13.54568401
5	13.31084481
6	13.26692735
7	13.04544268
8	12.95096723
9	12.86446481
10	12.68111314
11	12.49497157
12	12.39164012
13	12.2871855
14	12.18053243
15	12.10760503
16	11.9135206
17	11.6807628
18	11.52324151
19	11.37907518
20	11.28150681
21	11.21113059
22	11.12999221
23	11.06698445
24	10.74704847
25	10.64744575
26	10.59077481
27	10.54178682
28	10.50269376
29	10.40092105
30	10.29708297
31	10.22836977
32	10.11920339
33	10.06041173
34	9.998433349
35	9.951045563
36	9.897211403
37	9.866573769
38	9.831721428
39	9.686930295
40	9.57709391
41	9.529641546
42	9.425268452
43	9.360217634
44	9.296873979
45	9.222345163
46	9.178258672
47	9.1225349
48	9.053466107
49	8.998087063
50	8.844042233
51	8.705867879
52	8.634337732
53	8.577819511
54	8.461670372
55	8.405448155
56	8.361482085
57	8.325642888
58	8.250745171
59	8.184886131
60	8.145787195
61	8.116538294
62	8.028301961
63	7.977932773
64	7.921612713
65	7.794139048
66	7.730865962
67	7.649089604
68	7.594181621
69	7.552827799
70	7.515256002
71	7.474457342
72	7.424934739
73	7.401416873
74	7.346265307
75	7.299764434
76	7.264750551
77	7.22094581
78	7.199392654
79	7.130729573
80	7.104319479
81	7.042231386
82	7.010994969
83	6.937564517
84	6.914113259
85	6.869137038
86	6.805167904
87	6.757397553
88	6.724105179
89	6.641984105
90	6.598763011
91	6.551520566
92	6.523643228
93	6.503916847
94	6.474191396
95	6.436154668
96	6.384457361
97	6.336898127
98	6.31297127
99	6.288978637
100	6.266879997
101	6.251182923
102	6.229090553
103	6.188522453
104	6.154017838
105	6.118232209
106	6.086278905
107	6.041308677
108	6.00865392
109	5.966826394
110	5.942475147
111	5.878787198
112	5.859324746
113	5.820162025
114	5.776317716
115	5.748566363
116	5.732149239
117	5.716259477
118	5.694098473
119	5.660195035
120	5.624610289
121	5.591534091
122	5.559142016
123	5.540131256
124	5.47301952
125	5.426180253
126	5.409945543
127	5.388156734
128	5.368524188
129	5.32187542
130	5.306228477
131	5.294263836
132	5.282972859
133	5.256689023
134	5.210897934
135	5.184372125
136	5.147215372
137	5.124673048
138	5.096983281
139	5.078365381
140	5.067798637
141	5.046238084
142	5.031896801
143	5.024688266
144	5.003732289
145	4.983741413
146	4.960492565
147	4.931210407
148	4.914517565
149	4.887296432
150	4.861706471
151	4.840395726
152	4.822915708
153	4.804771697
154	4.770354349
155	4.733921802
156	4.709692792
157	4.697023509
158	4.671367878
159	4.646044434
160	4.627025358
161	4.603994716
162	4.584630939
163	4.567427176
164	4.543256905
165	4.53065069
166	4.520904266
167	4.506014208
168	4.476010496
169	4.449943067
170	4.434511857
171	4.414458875
172	4.39590331
173	4.382362972
174	4.365613474
175	4.347866106
176	4.334137161
177	4.290382495
178	4.243810212
179	4.226992819
180	4.206165362
181	4.189343192
182	4.173083612
183	4.161909436
184	4.144925097
185	4.13382455
186	4.119398216
187	4.106959104
188	4.077100731
189	4.063820683
190	4.053693156
191	4.038485802
192	4.025592717
193	4.006693463
194	3.995460124
195	3.968647918
196	3.959853895
197	3.952134558
198	3.930733771
199	3.913937653
200	3.898064879
201	3.883362061
202	3.870364447
203	3.859382173
204	3.851501963
205	3.839026534
206	3.820147362
